location,numRuns,meanVal_raw_C,meanVal_ratio_A,meanVal_ratio_B,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar
Odense,1,264.284422244448,0.687905728990741,0.536753629629308,0,0.263374485596708,0.106995884773663,551.007996966594,0.08,120,0.85,-5.76464097410503,-53.8772214118276,1
Odense,2,250.752904349016,0.672788876381522,0.526441043767708,0,0.2690329218107,0.112263374485597,556.51807693626,0.092,117,0.84575,-5.76464097410503,-51.3492579438239,0.98
Odense,3,237.345865621699,0.657548724454733,0.515870853845367,0,0.274705504115226,0.117544032921811,562.083257705623,0.1043,114.075,0.84152125,-5.76464097410503,-49.0423956947232,0.9604
Odense,4,224.042043267793,0.642185308495335,0.505047959981084,0,0.280392267875515,0.122837893004116,567.704090282679,0.1169075,111.223125,0.83731364375,-5.76464097410503,-46.9288493405849,0.941192
Odense,5,210.821446539097,0.626698615225848,0.493977047501844,0,0.286093248545203,0.128144987736626,573.381131185506,0.1298301875,108.442546875,0.83312707553125,-5.76464097410503,-44.9853020076992,0.92236816
Odense,6,197.665231176954,0.611088581588256,0.4826625916294,0,0.291808481666566,0.133465350205968,579.114942497361,0.1430759421875,105.731483203125,0.828961440153594,-5.76464097410503,-43.1920417187598,0.9039207968
Odense,7,184.555587139357,0.595355093607508,0.471108862041873,0,0.297538002870733,0.138799013581482,584.906091922334,0.156652840742187,103.088196123047,0.824816632952826,-5.76464097410503,-41.5322906507609,0.885842380864
Odense,8,171.475637961622,0.579497985331737,0.459319927312753,0,0.30328184787791,0.144146011115436,590.755152841558,0.170569161760742,100.510991219971,0.820692549788062,-5.76464097410503,-39.9916787810975,0.86812553324672
Odense,9,158.409350329361,0.563517037844562,0.447299659229674,0,0.309040052497604,0.149506376143225,596.662704369973,0.184833390804761,97.9982164394714,0.816589087039121,-5.76464097410503,-38.5578269155731,0.850763022581785
Odense,10,145.341452636466,0.547411978345039,0.435051736995288,0,0.314812652628848,0.154880142083583,602.629331413673,0.19945422557488,95.5482610284846,0.812506141603926,-5.76464097410503,-37.2200134668916,0.83374776213015
Odense,11,132.257361465477,0.531182479291018,0.422579651312519,0,0.32059968426042,0.160267342438792,608.65562472781,0.214440581214252,93.1595545027725,0.808443610895906,-5.76464097410503,-35.9689059940994,0.817072806887547
Odense,12,119.143115067869,0.51482815760186,0.409886708356458,0,0.326401183471072,0.165668010794889,614.742180975088,0.229801595744608,90.8305656402032,0.804401392841427,-5.76464097410503,-34.796343279827,0.800731350749796
Odense,13,105.985313041466,0.498348573916673,0.396976033635096,0,0.332217186429749,0.171082180821876,620.889602784839,0.245546635638223,88.5598014991981,0.800379385877219,-5.76464097410503,-33.6951571835932,0.7847167237348
Odense,14,92.7710615046536,0.481743231904348,0.383850575741101,0,0.338047729395824,0.176509886273931,627.098498812687,0.261685301529179,86.3458064617181,0.796377488947833,-5.76464097410503,-32.6590260511455,0.769022389260104
Odense,15,79.4879231549745,0.465011577621905,0.37051310999674,0,0.343892848719313,0.181951160989615,633.369483800814,0.278227434067408,84.1871613001752,0.792395601503094,-5.76464097410503,-31.6823533455444,0.753641941474902
Odense,16,66.1238716753704,0.448152998917781,0.356966241994088,0,0.349752580841111,0.187406038892089,639.703178638822,0.295183119919093,82.0824822676708,0.788433623495579,-5.76464097410503,-30.7601665783266,0.738569102645404
Odense,17,52.6672500166075,0.431166824876847,0.34321241103255,0,0.355626962293214,0.19287455398932,646.10021042521,0.312562697917071,80.0304202109791,0.784491455378101,-5.76464097410503,-29.8880326869051,0.723797720592496
Odense,18,39.1067321408569,0.414052325304115,0.329253893455761,0,0.361516029698947,0.198356740374293,652.561212529462,0.330376765364997,78.0296597057046,0.78056899810121,-5.76464097410503,-29.061986818433,0.709321766180646
Odense,19,25.4312878603201,0.396808710244204,0.315092805889819,0,0.367419819773195,0.203852632225229,659.086824654757,0.348636184499122,76.0789182130619,0.776666153110704,-5.76464097410503,-28.2784721059471,0.695135330857033
Odense,20,11.6301504472761,0.37943512953379,0.300731108384829,0,0.373338369322628,0.209362263805792,665.677692901305,0.3673520891116,74.1769452577354,0.772782822345151,-5.76464097410503,-27.5342885069891,0.681232624239892
Maribo,1,27.7359445723847,0.759389329158629,0.610662201203428,0,0.661392405063291,0.322257383966245,549.004314957603,0.08,120,0.85,-4.37772566978319,-13.5845627985416,1
Maribo,2,19.1922082154088,0.740451957522473,0.596502830628924,0,0.668045886075949,0.328063027426161,554.494358107179,0.092,117,0.84575,-4.37772566978319,-13.3441604320027,0.98
Maribo,3,10.5612541278852,0.721667630449534,0.582356568080248,0,0.674716000791139,0.333883184994726,560.039301688251,0.1043,114.075,0.84152125,-4.37772566978319,-13.1115487886949,0.9604
Maribo,4,1.83928896449836,0.703028820712648,0.568220848912366,0,0.681402790793117,0.339717892957213,565.639694705134,0.1169075,111.223125,0.83731364375,-4.37772566978319,-12.8863558868669,0.941192
Maribo,5,-6.97750274174564,0.684528201210522,0.554093139729016,0,0.6881062977701,0.345567187689606,571.296091652185,0.1298301875,108.442546875,0.83312707553125,-4.37772566978319,-12.6682330549142,0.92236816
Hazelton - ID - Idaho Magic Valley,1,57.9531986767371,0.348002948758948,0.306147991324171,0.0741011181505771,0.579159935379645,0.5359450726979,555.397779741742,0.08,120,0.85,-2.34361789499738,-4.37286956142691,1
Hazelton - ID - Idaho Magic Valley,2,-0.106557613674634,0.33974084752291,0.299120645433351,0.0616244336557319,0.585607835218094,0.542284935379645,560.95175753916,0.092,117,0.84575,-2.34361789499738,-4.32174626676039,0.98
Sant Agata Bolognese,1,258.479710463594,0.712382022480196,0.610895786114425,0.0149675037623841,0.96188630490956,0.673772609819121,568.165204995001,0.08,120,0.85,-9.88676644165104,-14.6737434819519,1
Sant Agata Bolognese,2,231.578755539983,0.696829149619374,0.598264382698015,0.0122478656415907,0.969291020671834,0.680457041343669,573.846857044951,0.092,117,0.84575,-9.88676644165104,-14.5295967870772,0.98
Sant Agata Bolognese,3,207.966080091182,0.681177477893526,0.58547451406163,0.00997696781072825,0.976714248223514,0.687158183947028,579.585325615401,0.1043,114.075,0.84152125,-9.88676644165104,-14.3879046668142,0.9604
Sant Agata Bolognese,4,187.022341367986,0.665427222328696,0.572528672037761,0.00808076812195809,0.984156033844072,0.693876079406896,585.381178871555,0.1169075,111.223125,0.83731364375,-9.88676644165104,-14.2486053851315,0.941192
Sant Agata Bolognese,5,168.237932860039,0.649578522257261,0.559429198314408,0.006497441381835,0.991616423928682,0.700610769605413,591.23499066027,0.1298301875,108.442546875,0.83312707553125,-9.88676644165104,-14.111639259013,0.92236816
Sant Agata Bolognese,6,151.19337322641,0.633631441900987,0.546178287731088,0.00517536355383223,0.999095464988504,0.707362296529426,597.147340566873,0.1430759421875,105.731483203125,0.828961440153594,-9.88676644165104,-13.9769485738201,0.9039207968
Sant Agata Bolognese,7,134.46860383045,0.617585970950293,0.532777991475972,0.00407142856744991,1,0.71413070227075,603.118813972542,0.156652840742187,103.088196123047,0.824816632952826,-9.88676644165104,-13.8444775028068,0.885842380864
Sant Agata Bolognese,8,118.708979490589,0.601442025138543,0.519230220186352,0.00314964285382067,1,0.720916029026427,609.150002112267,0.170569161760742,100.510991219971,0.820692549788062,-9.88676644165104,-13.7141720305523,0.86812553324672
Sant Agata Bolognese,9,103.82770604683,0.585199446810273,0.505536746954596,0.00237995178294026,1,0.727718319098993,615.24150213339,0.184833390804761,97.9982164394714,0.816589087039121,-9.88676644165104,-13.5859798800889,0.850763022581785
Sant Agata Bolognese,10,89.6312063792693,0.568858005482307,0.491699210241693,0.00173725973875512,1,0.73453761489674,621.393917154724,0.19945422557488,95.5482610284846,0.812506141603926,-9.88676644165104,-13.4598504435214,0.83374776213015
Sant Agata Bolognese,11,75.9595937770348,0.552417398396788,0.47771911670046,0.00120061188186052,1,0.741373958933982,627.607856326271,0.214440581214252,93.1595545027725,0.808443610895906,-9.88676644165104,-13.3357347159417,0.817072806887547
Sant Agata Bolognese,12,62.6806528197792,0.535877251065203,0.463597843910407,0.000752510921353537,1,0.748227393831317,633.883934889533,0.229801595744608,90.8305656402032,0.804401392841427,-9.88676644165104,-13.2135852324594,0.800731350749796
Sant Agata Bolognese,13,49.6848938777426,0.519237117802554,0.44933664302624,0.000378346619330204,1,0.755097962315895,640.222774238429,0.245546635638223,88.5598014991981,0.800379385877219,-9.88676644165104,-13.093356008177,0.7847167237348
Sant Agata Bolognese,14,36.8814892566768,0.502496482250847,0.434936641341907,6.591942714072e-05,1,0.761985707221685,646.625001980813,0.261685301529179,86.3458064617181,0.796377488947833,-9.88676644165104,-12.9750024809516,0.769022389260104
Sant Agata Bolognese,15,25.2573428914595,0.485654757891159,0.420398844772069,0,1,0.768890671489739,653.091252000621,0.278227434067408,84.1871613001752,0.792395601503094,-9.88676644165104,-12.8584814567918,0.753641941474902
Sant Agata Bolognese,16,13.7805536587582,0.468711288543564,0.405724140252817,0,1,0.775812898168463,659.622164520628,0.295183119919093,82.0824822676708,0.788433623495579,-9.88676644165104,-12.7437510577508,0.738569102645404
Sant Agata Bolognese,17,2.08250498584098,0.451665348854258,0.390913298063428,0,1,0.782752430413885,666.218386165834,0.312562697917071,80.0304202109791,0.784491455378101,-9.88676644165104,-12.6307706721822,0.723797720592496
Sant Agata Bolognese,18,-9.84122547008224,0.434516144769263,0.375966974070893,0,1,0.789709311489919,672.880570027492,0.330376765364997,78.0296597057046,0.78056899810121,-9.88676644165104,-12.5195009072364,0.709321766180646
Nunhem,1,122.571573589981,0.790161731728219,0.667431328442094,0,0.547542160028705,0.450304987441694,578.933335242467,0.08,120,0.85,-6.0828140900203,-13.5082094572801,1
Nunhem,2,113.449930288237,0.771927367756224,0.653069568749169,0,0.553911015428777,0.456430749910298,584.722668594892,0.092,117,0.84575,-6.0828140900203,-13.3269156191071,0.98
Nunhem,3,104.1965647058,0.753688329798437,0.638595409372091,0,0.560295792967349,0.462571826785074,590.569895280841,0.1043,114.075,0.84152125,-6.0828140900203,-13.1499882565191,0.9604
Nunhem,4,94.8068191638169,0.735441632940085,0.624009729338912,0,0.566696532449767,0.468728256352037,596.475594233649,0.1169075,111.223125,0.83731364375,-6.0828140900203,-12.9772720282769,0.941192
Nunhem,5,85.276011051835,0.717184326345696,0.609313310742487,0,0.573113273780891,0.474900076992917,602.440350175986,0.1298301875,108.442546875,0.83312707553125,-6.0828140900203,-12.8086188752314,0.92236816
Nunhem,6,75.5994284569553,0.698913490089203,0.594506840193391,0,0.579546056965344,0.481087327185399,608.464753677745,0.1430759421875,105.731483203125,0.828961440153594,-6.0828140900203,-12.6438875985526,0.9039207968
Nunhem,7,65.7723258795417,0.680626232108964,0.579590910236949,0,0.585994922107757,0.487290045503363,614.549401214523,0.156652840742187,103.088196123047,0.824816632952826,-6.0828140900203,-12.4829434669384,0.885842380864
Nunhem,8,55.7899200257668,0.662319685282155,0.56456602073442,0,0.592459909413026,0.493508270617121,620.694895226668,0.170569161760742,100.510991219971,0.820692549788062,-6.0828140900203,-12.3256578505035,0.86812553324672
