location,numRuns,meanVal,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar,,,,,,,,
12,19,5043.713243,0.000939289,0.383265553,0.001,477.334405,0.066761101,131.2714727,0.889073752,10.02921105,802.3368838,2.406619234,,,,,,,,
12,20,5334.638053,0.000993986,0.379807389,0.001,472.5610609,0.06609349,131.9278301,0.891296437,10.02921105,802.3368838,2.526950195,,,,,,,,
13,1,255.9719827,0,0.356350185,0.001,576.3344877,0.08,120,0.85,8.667766512,693.421321,1,,,,,,,,
13,2,543.1143135,5.00E-05,0.352959309,0.001,570.5711428,0.0792,120.6,0.852125,8.667766512,693.421321,1.05,,,,,,,,
13,3,832.7185504,0.00010025,0.349576911,0.001,564.8654314,0.078408,121.203,0.854255313,8.667766512,693.421321,1.1025,,,,,,,,
13,4,1124.788112,0.000150751,0.346202969,0.001,559.2167771,0.07762392,121.809015,0.856390951,8.667766512,693.421321,1.157625,,,,,,,,
13,5,1419.325545,0.000201505,0.342837462,0.001,553.6246093,0.076847681,122.4180601,0.858531928,8.667766512,693.421321,1.21550625,,,,,,,,
13,6,1716.332475,0.000252513,0.339480368,0.001,548.0883632,0.076079204,123.0301504,0.860678258,8.667766512,693.421321,1.276281563,,,,,,,,
13,7,2015.809551,0.000303775,0.336131667,0.001,542.6074796,0.075318412,123.6453011,0.862829954,8.667766512,693.421321,1.340095641,,,,,,,,
13,8,2317.756392,0.000355294,0.332791338,0.001,537.1814048,0.074565228,124.2635276,0.864987029,8.667766512,693.421321,1.407100423,,,,,,,,
13,9,2622.171521,0.00040707,0.329459359,0.001,531.8095907,0.073819576,124.8848453,0.867149496,8.667766512,693.421321,1.477455444,,,,,,,,
13,10,2929.052311,0.000459106,0.326135711,0.001,526.4914948,0.07308138,125.5092695,0.86931737,8.667766512,693.421321,1.551328216,,,,,,,,
13,11,3238.39491,0.000511401,0.322820372,0.001,521.2265799,0.072350566,126.1368158,0.871490663,8.667766512,693.421321,1.628894627,,,,,,,,
13,12,3550.194181,0.000563958,0.319513321,0.001,516.0143141,0.07162706,126.7674999,0.87366939,8.667766512,693.421321,1.710339358,,,,,,,,
13,13,3864.443623,0.000616778,0.316214538,0.001,510.8541709,0.07091079,127.4013374,0.875853563,8.667766512,693.421321,1.795856326,,,,,,,,
13,14,4181.135297,0.000669862,0.312924001,0.001,505.7456292,0.070201682,128.0383441,0.878043197,8.667766512,693.421321,1.885649142,,,,,,,,
13,15,4500.259746,0.000723211,0.309641691,0.001,500.6881729,0.069499665,128.6785358,0.880238305,8.667766512,693.421321,1.979931599,,,,,,,,
13,16,4821.80591,0.000776827,0.306367587,0.001,495.6812912,0.068804668,129.3219285,0.882438901,8.667766512,693.421321,2.078928179,,,,,,,,
13,17,5145.761041,0.000830712,0.303101668,0.001,490.7244783,0.068116622,129.9685382,0.884644998,8.667766512,693.421321,2.182874588,,,,,,,,
13,18,5472.110603,0.000884865,0.299843914,0.001,485.8172335,0.067435455,130.6183808,0.886856611,8.667766512,693.421321,2.292018318,,,,,,,,
13,19,5800.838181,0.000939289,0.296594304,0.001,480.9590612,0.066761101,131.2714727,0.889073752,8.667766512,693.421321,2.406619234,,,,,,,,
13,20,6131.925378,0.000993986,0.293352818,0.001,476.1494705,0.06609349,131.9278301,0.891296437,8.667766512,693.421321,2.526950195,,,,,,,,
14,1,691.7669727,0.025747111,0.531055901,0.085921325,589.9596813,0.08,120,0.85,1.173813185,13.6614884,1,,,,,,,,
14,2,542.6938597,0.021248837,0.53738354,0.091136128,595.8592781,0.092,117,0.84575,1.173813185,12.87977892,0.95,,,,,,,,
14,3,426.0781777,0.017492779,0.543726999,0.096363969,601.8178708,0.1043,114.075,0.84152125,1.173813185,12.18103822,0.9025,,,,,,,,
14,4,334.1405108,0.014356471,0.550086317,0.101604879,607.8360496,0.1169075,111.223125,0.837313644,1.173813185,11.55272465,0.857375,,,,,,,,
14,5,261.0536064,0.011737653,0.556461533,0.106858891,613.9144101,0.129830188,108.4425469,0.833127076,1.173813185,10.98470306,0.81450625,,,,,,,,
14,6,202.4209891,0.00955094,0.562852686,0.112126038,620.0535542,0.143075942,105.7314832,0.82896144,1.173813185,10.46869403,0.773780938,,,,,,,,
14,7,154.9046302,0.007725035,0.569259818,0.117406353,626.2540897,0.156652841,103.0881961,0.824816633,1.173813185,9.997867696,0.735091891,,,,,,,,
14,8,115.9559399,0.006200404,0.575682968,0.122699869,632.5166306,0.170569162,100.5109912,0.82069255,1.173813185,9.56653984,0.698337296,,,,,,,,
14,9,83.6194001,0.004927338,0.582122175,0.128006619,638.8417969,0.184833391,97.99821644,0.816589087,1.173813185,9.169941346,0.663420431,,,,,,,,
14,10,56.38790671,0.003864327,0.58857748,0.133326635,645.2302149,0.199454226,95.54826103,0.812506142,1.173813185,8.804041167,0.63024941,,,,,,,,
14,11,33.09533731,0.002976713,0.595048924,0.138659952,651.682517,0.214440581,93.1595545,0.808443611,1.173813185,8.465408864,0.598736939,,,,,,,,
15,1,7870.232909,0.024741396,0.950612073,0.001,546.3022222,0.08,120,0.85,-1.676760766,-134.1408613,1,,,,,,,,
15,2,1161.020549,0.020409065,0.957988603,0.0060025,551.7652445,0.092,117,0.84575,-1.676760766,-134.1408613,0.95,,,,,,,,
15,3,565.2815963,0.01679157,0.965383574,0.011017506,557.2828969,0.1043,114.075,0.84152125,-1.676760766,-134.1408613,0.9025,,,,,,,,
15,4,349.1898585,0.013770961,0.972797033,0.01604505,562.8557259,0.1169075,111.223125,0.837313644,-1.676760766,-104.5033057,0.857375,,,,,,,,
15,5,239.7775623,0.011248752,0.980229026,0.021085163,568.4842831,0.129830188,108.4425469,0.833127076,-1.676760766,-79.52325505,0.81450625,,,,,,,,
15,6,174.2660631,0.009142708,0.987679598,0.026137876,574.169126,0.143075942,105.7314832,0.82896144,-1.676760766,-64.15061406,0.773780938,,,,,,,,
15,7,130.5321128,0.007384161,0.995148797,0.03120322,579.9108172,0.156652841,103.0881961,0.824816633,-1.676760766,-53.73678594,0.735091891,,,,,,,,
